ts,source,fetch_ok,total_items,total_weight
2026-09-08T21:37:00Z,ynet,1,123,55
2026-09-08T21:37:00Z,walla,1,51,55
2026-09-08T21:37:00Z,n12,1,120,55
2026-09-08T21:37:00Z,kan,0,0,0
2026-09-08T21:37:00Z,haaretz,1,35,55
2026-09-08T21:37:00Z,israelhayom,1,67,55
2026-09-08T21:37:00Z,ch14,1,85,55
2026-09-08T21:37:00Z,makorrishon,1,74,55
2026-09-08T21:37:00Z,i24,1,15,50
2026-09-08T21:37:00Z,globes,1,5,30
2026-09-08T21:37:00Z,themarker,1,30,55
2026-09-08T21:37:00Z,calcalist,0,0,0
2026-09-08T21:41:54Z,ynet,1,123,55
2026-09-08T21:41:54Z,walla,1,51,55
2026-09-08T21:41:54Z,n12,1,120,55
2026-09-08T21:41:54Z,kan,1,53,55
2026-09-08T21:41:54Z,haaretz,1,35,55
2026-09-08T21:41:54Z,israelhayom,0,0,0
2026-09-08T21:41:54Z,ch14,0,0,0
2026-09-08T21:41:54Z,makorrishon,0,0,0
2026-09-08T21:41:54Z,i24,1,15,50
2026-09-08T21:41:54Z,globes,1,5,30
2026-09-08T21:41:54Z,themarker,1,30,55
2026-09-08T21:41:54Z,calcalist,0,0,0
2026-09-08T23:44:26Z,ynet,1,123,55
2026-09-08T23:44:26Z,walla,1,51,55
2026-09-08T23:44:26Z,n12,1,120,55
2026-09-08T23:44:26Z,kan,1,53,55
2026-09-08T23:44:26Z,haaretz,1,35,55
2026-09-08T23:44:26Z,israelhayom,0,0,0
2026-09-08T23:44:26Z,ch14,0,0,0
2026-09-08T23:44:26Z,makorrishon,0,0,0
2026-09-08T23:44:26Z,i24,1,14,49
2026-09-08T23:44:26Z,globes,1,5,30
2026-09-08T23:44:26Z,themarker,1,30,55
2026-09-08T23:44:26Z,calcalist,0,0,0
2026-09-09T00:22:57Z,ynet,1,123,55
2026-09-09T00:22:57Z,walla,1,51,55
2026-09-09T00:22:57Z,n12,1,120,55
2026-09-09T00:22:57Z,kan,1,53,55
2026-09-09T00:22:57Z,haaretz,1,35,55
2026-09-09T00:22:57Z,israelhayom,0,0,0
2026-09-09T00:22:57Z,ch14,0,0,0
2026-09-09T00:22:57Z,makorrishon,0,0,0
2026-09-09T00:22:57Z,i24,1,14,49
2026-09-09T00:22:57Z,globes,1,5,30
2026-09-09T00:22:57Z,themarker,1,30,55
2026-09-09T00:22:57Z,calcalist,0,0,0
