2026-09-08T21:37:00Z sources_ok=10/12 headlines=260
2026-09-08T21:41:54Z sources_ok=8/12 headlines=200
2026-09-08T23:44:26Z sources_ok=8/12 headlines=199
2026-09-09T00:22:57Z sources_ok=8/12 headlines=199
2026-09-09T01:56:10Z sources_ok=8/12 headlines=199
2026-09-09T05:00:52Z sources_ok=8/12 headlines=197
2026-09-09T07:38:12Z sources_ok=8/12 headlines=199
2026-09-09T09:55:34Z sources_ok=8/12 headlines=196
2026-09-09T12:32:55Z sources_ok=8/12 headlines=198
2026-09-09T14:41:11Z sources_ok=8/12 headlines=199
2026-09-09T16:55:45Z sources_ok=8/12 headlines=198
2026-09-09T18:44:23Z sources_ok=8/12 headlines=199
2026-09-09T20:09:08Z sources_ok=8/12 headlines=199
2026-09-09T21:47:09Z sources_ok=8/12 headlines=199
2026-09-09T22:49:37Z sources_ok=8/12 headlines=199
